report_id,title,first_author,year,journal,doi,document_type
RPT0001,Bacteriophage targeting of gut bacterium attenuates alcoholic liver disease,Duan,2019,Nature,10.1038/s41586-019-1742-x,primary_research_report
RPT0003,Development of alcohol‐associated hepatitis is associated with specific changes in gut‐modified bile acids,Muthiah,2022,Hepatology Communications,10.1002/hep4.1885,primary_research_report
RPT0004,Fecal microbiome distinguishes alcohol consumption from alcoholic hepatitis but does not discriminate disease severity,Smirnova,2020,Hepatology,10.1002/hep.31178,primary_research_report
RPT0005,Functional microbiomics reveals alterations of the gut microbiome and host co‐metabolism in patients with alcoholic hepatitis,Gao,2020,Hepatology Communications,10.1002/hep4.1537,primary_research_report
RPT0007,Microbiome as a potential diagnostic and predictive biomarker in severe alcoholic hepatitis,Kim,2021,Alimentary Pharmacology & Therapeutics,10.1111/apt.16200,primary_research_report
RPT0008,Novel microbial signatures in the faecal microbiome associated with severe alcoholic hepatitis Bacteroides finegoldii and Veillonella dispar,Hasan,2023,The Open Microbiology Journal,10.2174/18742858-v17-e230627-2023-7,primary_research_report
RPT0010,Bile acid homeostasis and intestinal dysbiosis in alcoholic hepatitis,Ciocan,2018,Alimentary Pharmacology & Therapeutics,10.1111/apt.14949,primary_research_report
RPT0011,Characteristics of microbiome-derived metabolomics according to the progression of alcoholic liver disease,Ganesan,2024,Hepatology International,10.1007/s12072-023-10518-9,primary_research_report
RPT0012,Characterization of intestinal microbiota in alcoholic patients with and without alcoholic hepatitis or chronic alcoholic pancreatitis,Ciocan,2018,Scientific Reports,10.1038/s41598-018-23146-3,primary_research_report
RPT0015,Gut-microbiota prompt activation of natural killer cell on alcoholic liver disease,Eom,2023,Gut Microbes,10.1080/19490976.2023.2281014,primary_research_report
RPT0020,Intestinal microbiota contributes to individual susceptibility to alcoholic liver disease,Llopis,2016,Gut,10.1136/gutjnl-2015-310585,primary_research_report
